epoch,lr-Adam,step,train_loss,val_loss
,0.00032017056824313814,45000,,
45,,45999,,0.00042993592796847224
45,,45999,0.0005296022864058614,
,0.0003201782332258804,46000,,
46,,46999,,0.0004257034743204713
46,,46999,0.000561998225748539,
,0.0003201860666645108,47000,,
47,,47999,,0.0005073896609246731
47,,47999,0.000657314551062882,
,0.0003201940685586876,48000,,
48,,48999,,0.0006388128967955709
48,,48999,0.0005886012222617865,
,0.00032020223890806034,49000,,
49,,49999,,0.0005139290005899966
49,,49999,0.0005734062870033085,
