index,path_length,expanded_nodes_num
0,2035.5251788310356,6481
1,1087.6681810065393,3529
2,1324.2611101191037,5142
3,1980.5424227737383,5823
4,1331.219479558761,4083
5,1508.3271272970867,3638
6,1025.5971131946737,5073
7,1417.5748186180886,5271
8,2068.152595829004,8122
9,1507.1433611130128,5831
10,1393.7169542418196,4244
11,1426.1311678041927,4897
12,1222.5382386916283,3183
13,1546.1261171703102,5548
14,1009.8153672641529,3534
15,2232.19422638933,6562
16,1979.7606768432174,6912
17,2417.1597385039095,6185
18,1517.9251070435337,4655
19,2361.5617587574698,6880
20,1238.8225099390904,4182
21,1557.971788237759,3554
22,916.631601080079,3047
23,867.1757569573631,2164
24,1026.1707063234805,3534
25,1813.5769106591436,6704
26,2332.248050258482,7919
27,1404.9890321804617,5060
28,1041.969696196704,3405
29,2164.3363620130676,8069
30,1688.9911242215167,6361
31,1266.165655689598,4628
32,1916.3292193381415,7794
33,2192.0937213259494,6603
34,2017.116015902545,6133
35,2283.3069247615344,5840
36,1230.8225099390904,4953
37,1616.9545442950564,6369
38,1276.7930726875677,5579
39,2012.3708498984843,7451
40,1856.2043276571133,6729
41,1451.1727983645355,5517
42,1674.9373003523538,4832
43,2252.7922061357763,5977
44,1469.2854967367439,5605
45,1437.6286424872515,6058
46,1525.0134187981016,7259
47,1218.0529573173897,5642
48,1971.8561312727231,5914
49,2458.1891757554286,7613
50,1337.4621202458802,5613
51,1291.6631303726567,5909
52,1509.9839815465791,4940
53,2379.9881656286607,7653
54,2271.8338366961198,7011
55,1096.981889505524,3767
56,2021.027704147977,6859
57,1448.9007204258935,4575
58,2361.1891757554326,6818
59,1862.5474734076208,7129
60,2091.625683894421,7458
61,2282.176982446624,6722
62,2198.4784976367946,7473
63,2031.986073587634,6685
64,2062.8855685242443,6683
65,1910.2165209659333,7859
66,936.5727265770334,4071
67,1746.724096916757,5843
68,2131.5373721398473,7685
69,2281.8632739476393,7934
70,2577.0541828066257,6552
71,1233.7930726875677,5510
72,1187.994082814344,4575
73,1353.0062761231643,6423
74,1678.439825669295,4393
75,1909.961686969994,6783
76,1005.0285706997494,3631
77,1531.557574675386,5112
78,1643.6824663564144,6790
79,1774.4225817265924,4411
80,1144.3250352560317,5588
81,2149.6795077635775,6793
82,1520.9129137347136,6341
83,2375.6622638208555,6414
84,2311.0642840744154,6757
85,1462.8590898655507,4728
86,2108.0815280171337,6988
87,1577.1261171703102,3709
88,1863.518036156098,6411
89,1405.7463914933423,5881
90,1971.0155108391568,6926
91,1932.42972440153,7297
92,1425.231672867581,5754
93,1540.8712831743708,6728
94,1312.8052659963878,6148
95,2322.218613006964,7097
96,2009.2287142747534,6530
97,2287.0764773832357,6302
98,1604.0966799187875,7290
99,2580.024745555102,8045
100,2098.1820330805235,6240
101,1535.7707781109825,6794
102,1682.9789309126966,4531
103,2595.196318430351,7850
104,1581.9545442950564,6210
105,2295.76276888425,6782
106,1052.697618258062,2447
107,1220.0651506262097,4521
108,1332.047906683507,6559
109,1376.6631303726565,5303
110,1017.6143571373764,2999
111,1652.8124086713256,7670
112,2934.1151493506977,7881
113,1997.755626209335,4838
114,1628.1383104791303,6841
115,1138.9108216936586,4372
116,1448.8712831743708,3980
117,1696.7240969167572,5627
118,1993.3880938411871,5891
119,1559.6408357960715,6623
120,1601.4692629208178,6404
121,2225.064284074423,5560
122,974.2712113868688,2458
123,2478.242999624589,7992
124,1693.623591853369,4956
125,1014.957502887884,3128
126,1897.103822593725,6928
127,1438.687516990297,5021
128,1613.025612106922,5535
129,1401.503750806223,4840
130,1360.491557497403,4707
131,1922.8023074035602,6714
132,1395.3443712397893,5474
133,2196.880517890353,5932
134,1634.3515139147269,7258
135,1405.1727983645355,4755
136,1294.5504320004482,4254
137,1717.2093782909958,6441
138,2161.1404025201764,6379
139,1555.7707781109825,5707
140,2402.4023791910276,7129
141,1500.971788237759,6048
142,2012.299782086619,7778
143,1900.0033175303367,5731
144,1417.1311678041927,5512
145,899.4894654563481,2941
146,1133.6681810065393,4938
147,1668.3393206059068,4543
148,1677.439825669295,3819
149,1129.1828996323006,2713
150,2150.0520907656078,7390
151,1747.505842847278,6659
152,1737.8124086713253,7062
153,2231.265294201196,7411
154,2279.7627688842495,6773
155,1379.8763338082533,5991
156,1443.6580797387742,5612
157,1606.5403307326833,4628
158,1390.0184694319844,5490
159,1395.7463914933423,5975
160,1604.0966799187872,4485
161,1718.4225817265924,6657
162,2382.348555321867,7921
163,1349.763635436045,5122
164,1143.0945878777325,3727
165,1376.9179643685964,5996
166,1424.0306627408045,7353
167,1580.9129137347136,6736
168,1596.9667376038763,5993
169,1059.6559876977192,4328
170,867.5899705197361,2339
171,1829.961686969994,6138
172,1926.0449480906796,6343
173,1923.8145007123803,6757
174,2113.110965268657,6883
175,2305.0642840744135,6871
176,1199.4082963767173,5178
177,1033.1707063234805,4264
178,1371.7047609329995,5061
179,2151.8632739476507,7391
180,1926.7606768432174,6139
181,1472.699710299117,4533
182,1358.0184694319844,4213
183,1326.1484117468954,3889
184,1108.9524522540014,4768
185,2115.5546160825515,6416
186,1470.427632360475,6365
187,1609.854039231668,7078
188,1925.0571413994996,7019
189,2188.1231585774694,6513
190,1560.569767984206,6144
191,2231.5079348883173,7106
192,2498.8165927533973,7831
193,1550.540330732683,6036
194,1612.6824663564144,5303
195,1665.4225817265922,6237
196,2311.2480502584876,7634
197,1212.5798692519713,2555
198,2047.4835482706926,6321
199,1821.6185412194864,6045
200,1097.81031663027,4887
201,2035.0571413994996,6366
202,1182.6509370638366,5408
203,1746.1921343482932,6931
204,1893.5718600252608,6476
205,2448.1424945612052,6224
206,1328.5209947489257,4861
207,1247.893577750956,4914
208,2411.189175755433,8109
209,1635.280446102861,4524
210,1853.5891039679636,4606
211,1804.6774157225316,7785
212,2041.8094500784978,7399
213,1931.128209211365,5654
214,1132.3250352560317,4129
215,2333.8754672564564,7580
216,2089.182033080524,7389
217,2675.652162553061,8092
218,1954.0449480906796,5931
219,1546.1433611130128,5158
220,3738.75180106459,7961
221,1264.0651506262097,2791
222,1644.439825669295,6733
223,2159.0642840744276,6206
224,1757.2632021601587,5250
225,1461.829652614028,5349
226,2802.4217151747544,7732
227,1854.7779207859198,5454
228,2114.5251788310297,7955
229,976.2001435750032,3730
230,2444.3729419395045,7768
231,2385.9881656286548,6951
232,1283.3788591251948,5515
233,2558.071426749325,8103
234,2236.750575575435,6604
235,1881.961686969994,6127
236,1202.023520065867,4662
237,881.1757569573631,3283
238,1828.363707223547,7531
239,2058.098771959842,5447
240,1494.0844866099674,5327
241,975.2001435750033,3328
242,1051.5432893255106,4323
243,1488.9129137347134,6054
244,1706.7951647286227,7159
245,1456.0722933011473,4200
246,1355.2489168102836,6376
247,1213.0651506262097,4671
248,1675.9373003523538,6254
249,1545.0966799187875,6379
250,1634.6235918533687,7122
251,1735.4347750354125,3978
252,2608.711037056117,7641
253,1688.179941039473,6220
254,1403.6164491784314,4382
255,1253.2367235014635,5867
256,1443.361615182492,4056
257,1923.7190462828746,7662
258,1867.5596667164407,5560
259,1777.79011409474,5732
260,1544.5992052357287,4809
261,1287.7930726875677,4170
262,2184.721138323919,7503
263,1319.1484117468954,5243
264,1967.6134905856038,5590
265,1725.037805415742,5567
266,1491.0428560496246,5381
267,2039.2875887777989,6245
268,1370.1311678041927,5717
269,1993.701802340172,7066
270,1938.400287150007,6551
271,1873.1748904055905,7247
272,1614.4692629208178,7735
273,1568.854039231668,6426
274,2318.3191180703516,6759
275,2533.7577182503437,7463
276,1369.4621202458802,5686
277,1086.1118318204349,3659
278,1706.1088732276075,5927
279,2039.584053334081,6542
280,919.2590180780489,2566
281,2088.429724401528,7196
282,2370.804399444589,7170
283,1465.829652614028,3432
284,2004.4835482706926,5588
285,2056.1109652686623,8059
286,1907.7312395916947,7309
287,1187.851947190613,4794
288,1646.0672426672647,6224
289,2405.218613006956,6849
290,2461.2013690642484,7369
291,1411.1311678041925,5222
292,2168.625683894411,5260
293,1603.724096916757,6042
294,1290.3494218736719,2654
295,1927.9322497184712,5889
296,990.229580826526,3885
297,2007.9028124669485,6162
298,1629.1971849821757,6172
299,1686.5525240415031,6274
300,1594.9423509862363,5922
301,1221.5920625607912,4222
