index,path_length,expanded_nodes_num
0,26632.053588101506,129422
1,24870.55488792902,126436
2,13453.439528316445,60218
3,18140.053377839984,94992
4,18561.92552756618,94812
5,19546.51044745212,115536
6,25164.922420297185,96367
7,21955.48641977218,127447
8,17863.354893030122,129153
9,20710.93598777163,56310
10,31758.752790786803,126440
11,23596.53136786305,116116
12,14007.14010516739,82720
13,17688.448255418563,102050
14,22599.04695304048,95634
15,22789.370762807208,116910
16,15755.285558321639,88097
17,27291.3521446989,125500
18,22203.20424056582,111659
19,18975.802727926253,101499
20,23246.985119944668,95003
21,18507.712324130556,100062
22,17267.220766633047,63027
23,23069.840892279848,105239
24,28593.667078687286,124753
25,12686.114493060359,27244
26,17644.364994297892,118908
27,18338.624012375993,70326
28,17596.436062109748,108618
29,24699.270616681533,117350
30,28068.917728601024,128424
31,19094.96925016761,112570
32,15052.210306427583,104526
33,15017.180869176074,72778
34,29582.470252642717,115127
35,21933.113836770186,88825
36,14221.62538654163,53593
37,23586.84298432095,129175
38,12652.523655988833,67545
39,17259.267447827264,79285
40,17376.64717350426,125414
41,24519.393416321494,129992
42,17647.240102616834,123391
43,21642.385914708797,108643
44,20838.126896630656,120157
45,22076.583966242808,79509
46,21116.50662230766,74640
47,12033.933685469034,80015
48,32273.533670165656,119357
49,16283.050060309484,84711
50,21002.61932067987,111528
51,16991.84609158995,120109
52,17484.683753430723,78449
53,22707.66722736351,99546
54,18485.44024619192,102198
55,27484.023284298295,129405
56,19647.978484883653,117351
57,24056.727327355966,111368
58,16964.2258172669,119867
59,25546.6574850335,96232
60,26308.892116493982,106577
61,21026.352293375116,94778
62,24555.020833319475,122932
63,17983.916292850132,115564
64,17933.850275672132,74189
65,17527.16903480497,69168
66,21128.884255943558,105476
67,18817.16311761943,84195
68,13617.677118369695,76270
69,20368.502438225478,74460
70,15309.783899556382,76234
71,13373.201938263208,83261
72,15443.20734783479,62872
73,13794.292342058874,73451
74,13172.135921085199,62538
75,17640.477692670065,88096
76,16278.167809315546,85838
