index,path_length,expanded_nodes_num
0,511.98484809835173,1428
1,372.6173157302039,790
2,558.3696244092021,1822
3,608.2691193458138,1837
4,594.4823227814103,1779
5,708.5067093990505,1823
6,482.77164466275497,1345
7,425.5168106668156,1181
8,483.7594513539351,1177
9,484.41630560342753,1565
10,490.1858582251282,1304
11,480.4579361637701,1531
12,732.5655839020961,1983
13,403.1736649163081,833
14,422.58787847868115,1145
15,458.94321753800887,1118
16,329.3624817342645,1277
17,855.76154339499,1769
18,934.0580079512722,1978
19,663.5950211536187,2030
20,575.541197284456,1625
21,489.15642097360546,1557
22,601.2396820942911,1614
23,713.163563648543,1995
24,628.8965363437835,1433
25,375.37467504308455,1085
26,319.6051224213839,1086
27,251.17871555019065,636
28,622.2813126546339,1832
29,347.5046173579956,1451
30,585.9259735953061,1986
31,513.8132752230979,1571
32,440.48737341529306,1434
33,541.7422074112324,1487
34,359.16147160748807,1021
35,346.4335495461301,1020
36,703.2813126546339,2042
37,284.29141392239904,816
38,371.2741699796963,1148
39,410.7178207935923,782
40,524.8427124746206,1514
41,367.7178207935922,862
42,292.705627484772,592
43,754.5361466505732,1965
44,511.6000717875013,1622
45,336.7056274847722,699
46,566.8549057834407,1776
47,546.5117600329331,1003
48,490.94321753800887,882
49,537.2985565973365,1867
50,285.56349186104103,717
51,481.1858582251282,1085
52,352.50461735799564,1295
53,556.4701294725903,1770
54,434.6883835420695,1341
55,898.0458146424521,1956
56,704.0803025278573,1690
57,323.3624817342644,930
58,652.4528855298876,1734
59,358.09040379562265,1108
60,460.35743110038186,1158
61,605.8965363437835,1899
62,687.7665940288724,1772
63,678.6660889654843,1655
64,581.6417023478441,1043
65,600.4823227814104,1937
66,446.8010819142778,815
67,455.31580054003905,1282
68,362.09040379562254,960
69,425.3158005400392,1215
70,432.3452377915618,1414
71,415.03152929257703,1246
72,309.1909088590108,994
73,707.9919907732891,1991
74,399.3746750430846,1537
75,340.5046173579956,485
76,782.3645737753195,1874
77,329.4335495461301,666
78,366.2741699796963,826
79,355.96046148071144,1531
80,745.3645737753194,1690
81,393.6467529817268,1306
82,512.6000717875013,1175
83,320.9188309203686,627
84,736.3940110268422,1928
85,354.161471607488,1087
86,341.43354954613005,996
87,482.62950903902396,1046
88,415.2031021678309,1195
89,431.9726547895316,1172
90,281.9066376115487,709
91,453.51681066681573,1409
92,479.0731598529199,1427
93,716.0508652763347,1723
94,378.9188309203687,829
95,382.9898987322343,1424
96,637.4112549695448,1968
97,841.033621333632,1937
98,435.4873734152929,1020
99,552.7127701597096,1821
100,426.3158005400391,1297
101,628.7544007200524,1503
102,732.6782822743044,1742
103,324.3919189857874,1313
104,591.5828278447987,1521
105,771.8792924010809,1702
106,341.23253941935343,956
107,715.8792924010808,1775
108,596.1686142824256,1677
109,671.6660889654843,1771
110,432.85995641732325,1280
111,403.17366491630804,1331
112,465.4284989122474,1374
113,516.9848480983517,1844
114,657.2691193458138,1617
115,492.18585822512824,1374
116,473.65894629054674,1204
117,581.1686142824256,1650
118,448.0437226013972,1498
119,574.3279938488594,1811
120,363.01933598375706,1140
121,732.6366517139616,1771
122,489.52900397563576,1734
123,530.0853531617399,1028
124,716.6782822743044,1953
125,477.21529547665097,1205
126,273.6345596729065,570
127,430.90158697766606,1053
128,694.8792924010808,1974
129,660.1808075912455,1895
130,476.6000717875012,1616
131,372.54624791833845,983
132,511.5706345359786,1479
133,339.57568516986106,1053
134,305.291413922399,992
135,329.2619766708762,895
136,403.0315292925769,1426
137,704.9503602129464,1786
138,621.0803025278574,1929
139,575.4701294725903,931
140,741.9503602129464,1716
141,357.5756851698611,835
142,744.1219330882002,1618
143,461.345237791562,1319
144,614.0975464705601,1969
145,665.9381669041263,1665
146,578.0559159102172,1792
147,335.2325394193535,1027
148,539.8843430349634,1461
