epoch,lr-Adam,step,train_loss,val_loss
,0.00032017056824313814,45000,,
45,,45999,,0.0005453240592032671
45,,45999,0.0005418307264335454,
,0.0003201782332258804,46000,,
46,,46999,,0.0005208236980251968
46,,46999,0.0006523353513330221,
,0.0003201860666645108,47000,,
47,,47999,,0.0004016621969640255
47,,47999,0.0005443330737762153,
,0.0003201940685586876,48000,,
48,,48999,,0.0004896410973742604
48,,48999,0.0006215592147782445,
,0.00032020223890806034,49000,,
49,,49999,,0.00038022806984372437
49,,49999,0.0005209913942962885,
,0.0003202105777122691,50000,,
50,,50999,,0.0004504566895775497
50,,50999,0.0006124234641902149,
,0.00032021908497094874,51000,,
51,,51999,,0.00038769314414821565
51,,51999,0.0005275550647638738,
,0.0003202277606837254,52000,,
52,,52999,,0.00038988032611086965
52,,52999,0.0005187789793126285,
,0.0003202366048502192,53000,,
53,,53999,,0.00039519034908153117
53,,53999,0.000492640130687505,
,0.0003202456174700415,54000,,
54,,54999,,0.0006735352799296379
54,,54999,0.0005207960493862629,
,0.0003202547985427977,55000,,
55,,55999,,0.0005180166917853057
55,,55999,0.0005606085760518909,
,0.0003202641480680845,56000,,
56,,56999,,0.00061135581927374
56,,56999,0.0005782735534012318,
,0.0003202736660454916,57000,,
57,,57999,,0.00040199325303547084
57,,57999,0.0005500761908479035,
,0.0003202833524746018,58000,,
58,,58999,,0.0004231771163176745
58,,58999,0.00046864544856362045,
,0.0003202932073549901,59000,,
59,,59999,,0.00036114093381911516
59,,59999,0.0004962345701642334,
