path_length,expanded_nodes_num
74.45584412271569,776
73.76955262170046,760
81.87005768508878,641
92.18376618407352,832
62.35533905932734,432
90.4264068711928,1004
74.28427124746189,886
47.97056274847712,451
81.35533905932733,694
61.52691193458116,395
61.87005768508878,319
70.04163056034258,1110
53.38477631085023,350
64.87005768508878,963
45.21320343559641,189
57.455844122715696,387
69.69848480983497,558
70.11269837220807,449
51.87005768508879,292
55.55634918610403,390
87.94112549695424,825
64.52691193458116,641
64.52691193458116,736
82.4264068711928,682
73.76955262170044,869
42.14213562373095,150
57.38477631085022,367
71.18376618407355,445
81.18376618407353,1110
49.97056274847713,249
53.627416997969505,580
56.38477631085023,318
84.42640687119281,650
72.69848480983497,302
58.455844122715696,476
83.52691193458116,844
94.84062043356589,424
90.35533905932735,2010
62.97056274847712,218
73.69848480983498,501
73.94112549695426,683
60.0416305603426,740
74.11269837220806,632
44.556349186104036,140
59.041630560342604,418
79.87005768508878,693
67.79898987322332,364
65.28427124746187,436
55.970562748477136,364
83.76955262170043,937
50.0416305603426,312
73.87005768508878,795
85.59797974644661,765
42.79898987322332,383
59.870057685088796,426
49.627416997969505,293
73.04163056034258,819
53.21320343559642,344
66.11269837220807,418
55.62741699796952,794
80.35533905932735,615
75.76955262170044,818
54.14213562373094,266
61.627416997969505,514
79.52691193458115,755
19.48528137423857,45
51.4558441227157,342
77.8406204335659,1024
52.55634918610404,316
58.970562748477136,314
40.384776310850235,137
58.627416997969505,725
67.28427124746187,511
56.69848480983497,325
70.87005768508878,537
62.11269837220806,415
79.59797974644661,891
81.18376618407353,965
61.4558441227157,237
63.112698372208065,458
61.284271247461874,330
71.11269837220806,446
65.79898987322332,566
91.52691193458114,1148
68.8700576850888,847
81.76955262170044,1281
51.62741699796952,335
57.62741699796951,335
61.38477631085022,313
58.38477631085022,345
42.38477631085023,321
83.42640687119281,1437
74.35533905932733,552
53.62741699796951,496
72.11269837220806,712
52.4558441227157,293
83.18376618407352,738
69.11269837220806,784
81.11269837220806,993
57.041630560342604,580
63.213203435596405,233
44.55634918610403,149
57.79898987322332,545
60.45584412271569,418
68.8700576850888,615
43.38477631085024,204
70.69848480983497,612
58.28427124746189,630
49.21320343559642,184
91.59797974644661,1130
69.94112549695426,494
53.870057685088796,706
76.28427124746187,527
81.28427124746187,799
68.69848480983497,575
67.11269837220807,757
67.62741699796949,594
64.87005768508878,244
77.18376618407352,1084
69.35533905932733,447
78.45584412271569,474
92.66904755831209,655
50.69848480983499,294
